,FactGLTranID,JournalID,GLTranDescription,GLTranAmount,GLTranDate,GLAcctNum,GLAcctName,Statement,Category,Subcategory,StoreNum,StoreName,ManagerID,PreviousManagerID,ContactTel,AddressLine1,AddressLine2,ZipCode,RegionNum,RegionName,SalesRegionName,LastRefreshDate
10,11,994,Term Loan - Interest Payment,23819.44,2019-09-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
11,12,1310,Term Loan - Interest Payment,23680.56,2019-10-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
12,13,749,Term Loan - Interest Payment,23541.67,2019-11-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
13,14,881,Term Loan - Interest Payment,23402.78,2019-12-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
14,15,184,Term Loan - Interest Payment,23194.44,2020-01-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
15,16,946,Term Loan - Interest Payment,23125.0,2020-02-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
16,17,178,Term Loan - Interest Payment,22986.11,2020-03-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
17,18,331,Term Loan - Interest Payment,22847.22,2020-04-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
18,19,259,Term Loan - Interest Payment,22708.33,2020-05-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
19,20,1586,Term Loan - Interest Payment,22569.44,2020-06-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
20,21,1499,Term Loan - Interest Payment,22430.56,2020-07-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
21,22,902,Term Loan - Interest Payment,22291.67,2020-08-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
22,23,1647,Term Loan - Interest Payment,22152.78,2020-09-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
23,24,164,Term Loan - Interest Payment,22013.89,2020-10-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
24,25,170,Term Loan - Interest Payment,21875.0,2020-11-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
25,26,760,Term Loan - Interest Payment,21736.11,2020-12-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
26,27,1815,Term Loan - Interest Payment,21527.78,2021-01-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
27,28,1506,Term Loan - Interest Payment,21458.33,2021-02-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
28,29,971,Term Loan - Interest Payment,21319.44,2021-03-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
29,30,46,Term Loan - Interest Payment,21180.56,2021-04-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
30,31,623,Term Loan - Interest Payment,21041.67,2021-05-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
31,32,806,Term Loan - Interest Payment,20902.78,2021-06-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
32,33,787,Term Loan - Interest Payment,20763.89,2021-07-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
33,34,838,Term Loan - Interest Payment,20625.0,2021-08-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
34,35,64,Term Loan - Interest Payment,20486.11,2021-09-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
35,36,1858,Term Loan - Interest Payment,20347.22,2021-10-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
36,37,1173,Term Loan - Interest Payment,20208.33,2021-11-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
37,38,19,Term Loan - Interest Payment,20069.44,2021-12-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
38,39,1828,Term Loan - Principal Payment,2777.78,2019-01-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
39,40,1540,Term Loan - Principal Payment,2777.78,2019-02-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
40,41,1682,Term Loan - Principal Payment,2777.78,2019-03-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
41,42,878,Term Loan - Principal Payment,2777.78,2019-04-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
42,43,894,Term Loan - Principal Payment,2777.78,2019-05-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
43,44,1003,Term Loan - Principal Payment,2777.78,2019-06-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
44,45,1823,Term Loan - Principal Payment,2777.78,2019-07-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
45,46,1263,Term Loan - Principal Payment,2777.78,2019-08-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
46,47,994,Term Loan - Principal Payment,2777.78,2019-09-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
47,48,1310,Term Loan - Principal Payment,2777.78,2019-10-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
48,49,749,Term Loan - Principal Payment,2777.78,2019-11-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
49,50,881,Term Loan - Principal Payment,2777.78,2019-12-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
50,51,184,Term Loan - Principal Payment,2777.78,2020-01-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
51,52,946,Term Loan - Principal Payment,2777.78,2020-02-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
52,53,178,Term Loan - Principal Payment,2777.78,2020-03-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
53,54,331,Term Loan - Principal Payment,2777.78,2020-04-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
54,55,259,Term Loan - Principal Payment,2777.78,2020-05-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
55,56,1586,Term Loan - Principal Payment,2777.78,2020-06-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
56,57,1499,Term Loan - Principal Payment,2777.78,2020-07-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
57,58,902,Term Loan - Principal Payment,2777.78,2020-08-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
58,59,1647,Term Loan - Principal Payment,2777.78,2020-09-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
59,60,164,Term Loan - Principal Payment,2777.78,2020-10-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
60,61,170,Term Loan - Principal Payment,2777.78,2020-11-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
61,62,760,Term Loan - Principal Payment,2777.78,2020-12-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
62,63,1815,Term Loan - Principal Payment,2777.78,2021-01-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
63,64,1506,Term Loan - Principal Payment,2777.78,2021-02-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
64,65,971,Term Loan - Principal Payment,2777.78,2021-03-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
65,66,46,Term Loan - Principal Payment,2777.78,2021-04-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
66,67,623,Term Loan - Principal Payment,2777.78,2021-05-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
67,68,806,Term Loan - Principal Payment,2777.78,2021-06-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
68,69,787,Term Loan - Principal Payment,2777.78,2021-07-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
69,70,838,Term Loan - Principal Payment,2777.78,2021-08-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
70,71,64,Term Loan - Principal Payment,2777.78,2021-09-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
71,72,1858,Term Loan - Principal Payment,2777.78,2021-10-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
72,73,1173,Term Loan - Principal Payment,2777.78,2021-11-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
73,74,19,Term Loan - Principal Payment,2777.78,2021-12-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
74,75,1828,Term Loan - Interest & Principal Payment,-27638.89,2019-01-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
75,76,1540,Term Loan - Interest & Principal Payment,-27569.45,2019-02-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
76,77,1682,Term Loan - Interest & Principal Payment,-27430.56,2019-03-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
77,78,878,Term Loan - Interest & Principal Payment,-27291.67,2019-04-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
78,79,894,Term Loan - Interest & Principal Payment,-27152.78,2019-05-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
79,80,1003,Term Loan - Interest & Principal Payment,-27013.89,2019-06-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
80,81,1823,Term Loan - Interest & Principal Payment,-26875.0,2019-07-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
81,82,1263,Term Loan - Interest & Principal Payment,-26736.11,2019-08-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
82,83,994,Term Loan - Interest & Principal Payment,-26597.22,2019-09-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
83,84,1310,Term Loan - Interest & Principal Payment,-26458.34,2019-10-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
84,85,749,Term Loan - Interest & Principal Payment,-26319.45,2019-11-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
85,86,881,Term Loan - Interest & Principal Payment,-26180.56,2019-12-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
86,87,184,Term Loan - Interest & Principal Payment,-25972.22,2020-01-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
87,88,946,Term Loan - Interest & Principal Payment,-25902.78,2020-02-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
88,89,178,Term Loan - Interest & Principal Payment,-25763.89,2020-03-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
89,90,331,Term Loan - Interest & Principal Payment,-25625.0,2020-04-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
90,91,259,Term Loan - Interest & Principal Payment,-25486.11,2020-05-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
91,92,1586,Term Loan - Interest & Principal Payment,-25347.22,2020-06-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
92,93,1499,Term Loan - Interest & Principal Payment,-25208.34,2020-07-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
93,94,902,Term Loan - Interest & Principal Payment,-25069.45,2020-08-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
94,95,1647,Term Loan - Interest & Principal Payment,-24930.56,2020-09-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
95,96,164,Term Loan - Interest & Principal Payment,-24791.67,2020-10-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
96,97,170,Term Loan - Interest & Principal Payment,-24652.78,2020-11-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
97,98,760,Term Loan - Interest & Principal Payment,-24513.89,2020-12-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
98,99,1815,Term Loan - Interest & Principal Payment,-24305.56,2021-01-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
99,100,1506,Term Loan - Interest & Principal Payment,-24236.11,2021-02-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
100,101,971,Term Loan - Interest & Principal Payment,-24097.22,2021-03-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
101,102,46,Term Loan - Interest & Principal Payment,-23958.34,2021-04-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
